DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1971-10-12,1972,Philadelphia 76ers,114,Chicago Bulls,100,0,N
1971-10-12,1972,Seattle SuperSonics,123,Buffalo Braves,90,0,N
1971-10-12,1972,Detroit Pistons,91,New York Knicks,84,0,N
1971-10-12,1972,Atlanta Hawks,113,Cincinnati Royals,127,0,N
1971-10-14,1972,Philadelphia 76ers,105,Houston Rockets,94,0,N
1971-10-14,1972,Milwaukee Bucks,110,Phoenix Suns,97,0,N
1971-10-15,1972,Golden State Warriors,97,Boston Celtics,75,0,N
1971-10-15,1972,Baltimore Bullets,82,Chicago Bulls,106,0,N
1971-10-15,1972,Buffalo Braves,111,Cleveland Cavaliers,109,1,N
1971-10-15,1972,Los Angeles Lakers,132,Detroit Pistons,103,0,N
1971-10-15,1972,Seattle SuperSonics,119,Portland Trail Blazers,88,0,N
1971-10-16,1972,Philadelphia 76ers,104,Atlanta Hawks,102,0,N
1971-10-16,1972,Golden State Warriors,93,Baltimore Bullets,108,0,N
1971-10-16,1972,Cleveland Cavaliers,93,Buffalo Braves,89,0,N
1971-10-16,1972,Los Angeles Lakers,119,New York Knicks,104,0,N
1971-10-16,1972,Houston Rockets,108,Phoenix Suns,128,0,N
1971-10-16,1972,Milwaukee Bucks,98,Seattle SuperSonics,91,0,N
1971-10-17,1972,Milwaukee Bucks,127,Portland Trail Blazers,94,0,N
1971-10-17,1972,Houston Rockets,99,Detroit Pistons,112,0,N
1971-10-17,1972,New York Knicks,121,Cleveland Cavaliers,120,1,N
1971-10-19,1972,Los Angeles Lakers,123,Buffalo Braves,106,0,N
1971-10-19,1972,Seattle SuperSonics,101,Cincinnati Royals,100,0,N
1971-10-19,1972,Cleveland Cavaliers,82,Milwaukee Bucks,116,0,N
1971-10-19,1972,Golden State Warriors,84,New York Knicks,93,0,N
1971-10-19,1972,Detroit Pistons,101,Portland Trail Blazers,99,0,N
1971-10-19,1972,Baltimore Bullets,114,Boston Celtics,134,0,N
1971-10-20,1972,Golden State Warriors,115,Cleveland Cavaliers,98,0,N
1971-10-20,1972,Seattle SuperSonics,93,Philadelphia 76ers,100,0,N
1971-10-20,1972,Houston Rockets,110,Chicago Bulls,125,0,N
1971-10-20,1972,Los Angeles Lakers,126,Atlanta Hawks,104,0,N
1971-10-22,1972,Boston Celtics,115,Atlanta Hawks,108,0,N
1971-10-22,1972,New York Knicks,110,Baltimore Bullets,87,0,N
1971-10-22,1972,Chicago Bulls,113,Los Angeles Lakers,106,0,N
1971-10-22,1972,Buffalo Braves,105,Milwaukee Bucks,124,0,N
1971-10-22,1972,Detroit Pistons,116,Phoenix Suns,109,0,N
1971-10-22,1972,Houston Rockets,91,Seattle SuperSonics,110,0,N
1971-10-23,1972,Milwaukee Bucks,110,Philadelphia 76ers,88,0,N
1971-10-23,1972,Cincinnati Royals,100,Portland Trail Blazers,104,0,N
1971-10-23,1972,Boston Celtics,103,Buffalo Braves,98,0,N
1971-10-23,1972,Detroit Pistons,109,Golden State Warriors,115,1,N
1971-10-23,1972,Cleveland Cavaliers,109,Baltimore Bullets,101,0,N
1971-10-23,1972,Atlanta Hawks,95,New York Knicks,89,0,N
1971-10-24,1972,Philadelphia 76ers,111,Cleveland Cavaliers,93,0,N
1971-10-24,1972,Los Angeles Lakers,113,Houston Rockets,103,0,N
1971-10-24,1972,Chicago Bulls,105,Phoenix Suns,104,0,N
1971-10-24,1972,Cincinnati Royals,101,Seattle SuperSonics,119,0,N
1971-10-25,1972,Atlanta Hawks,116,Boston Celtics,136,0,N
1971-10-26,1972,Houston Rockets,104,Detroit Pistons,103,0,N
1971-10-26,1972,Buffalo Braves,91,Golden State Warriors,89,0,N
1971-10-26,1972,Baltimore Bullets,90,Milwaukee Bucks,120,0,N
1971-10-26,1972,Boston Celtics,101,New York Knicks,106,0,N
1971-10-26,1972,Cincinnati Royals,99,Phoenix Suns,126,0,N
1971-10-26,1972,Chicago Bulls,123,Portland Trail Blazers,111,0,N
1971-10-27,1972,Cleveland Cavaliers,106,Philadelphia 76ers,120,0,N
1971-10-27,1972,Houston Rockets,97,Boston Celtics,108,0,N
1971-10-27,1972,New York Knicks,96,Atlanta Hawks,110,0,N
1971-10-27,1972,Detroit Pistons,98,Baltimore Bullets,128,0,N
1971-10-28,1972,Houston Rockets,94,New York Knicks,112,0,N
1971-10-28,1972,Buffalo Braves,96,Seattle SuperSonics,106,0,N
1971-10-29,1972,Phoenix Suns,137,Philadelphia 76ers,135,2,N
1971-10-29,1972,Buffalo Braves,120,Portland Trail Blazers,119,0,N
1971-10-29,1972,Cincinnati Royals,107,Los Angeles Lakers,119,0,N
1971-10-29,1972,Baltimore Bullets,105,Detroit Pistons,119,0,N
1971-10-29,1972,Atlanta Hawks,98,Cleveland Cavaliers,97,0,N
1971-10-29,1972,Golden State Warriors,99,Chicago Bulls,83,0,N
1971-10-29,1972,Milwaukee Bucks,114,Boston Celtics,125,0,N
1971-10-30,1972,Detroit Pistons,104,Atlanta Hawks,99,0,N
1971-10-30,1972,Phoenix Suns,94,Baltimore Bullets,101,0,N
1971-10-30,1972,Cincinnati Royals,112,Golden State Warriors,116,0,N
1971-10-30,1972,Philadelphia 76ers,108,New York Knicks,101,0,N
1971-10-30,1972,Los Angeles Lakers,106,Seattle SuperSonics,115,0,N
1971-10-31,1972,Milwaukee Bucks,118,Cleveland Cavaliers,102,0,N
1971-10-31,1972,Buffalo Braves,87,Houston Rockets,102,0,N
1971-10-31,1972,Golden State Warriors,109,Los Angeles Lakers,105,0,N
1971-11-02,1972,Phoenix Suns,101,Chicago Bulls,108,0,N
1971-11-02,1972,Baltimore Bullets,91,Golden State Warriors,106,0,N
1971-11-03,1972,Chicago Bulls,113,Atlanta Hawks,100,0,N
1971-11-03,1972,Phoenix Suns,100,Buffalo Braves,98,0,N
1971-11-03,1972,Philadelphia 76ers,100,Cincinnati Royals,124,0,N
1971-11-03,1972,New York Knicks,117,Houston Rockets,98,0,N
1971-11-04,1972,Seattle SuperSonics,96,Golden State Warriors,98,0,N
1971-11-04,1972,Portland Trail Blazers,112,Houston Rockets,110,0,N
1971-11-05,1972,Buffalo Braves,122,Atlanta Hawks,117,1,N
1971-11-05,1972,Detroit Pistons,102,Boston Celtics,103,0,N
1971-11-05,1972,Milwaukee Bucks,104,Chicago Bulls,102,0,N
1971-11-05,1972,Phoenix Suns,107,Cleveland Cavaliers,87,0,N
1971-11-05,1972,Baltimore Bullets,106,Los Angeles Lakers,110,0,N
1971-11-05,1972,New York Knicks,97,Seattle SuperSonics,101,0,N
1971-11-06,1972,Portland Trail Blazers,109,Boston Celtics,124,0,N
1971-11-06,1972,Chicago Bulls,99,Buffalo Braves,130,0,N
1971-11-06,1972,Phoenix Suns,95,Cincinnati Royals,110,0,N
1971-11-06,1972,Los Angeles Lakers,105,Golden State Warriors,89,0,N
1971-11-06,1972,Detroit Pistons,78,Milwaukee Bucks,106,0,N
1971-11-06,1972,Atlanta Hawks,96,Philadelphia 76ers,101,0,N
1971-11-07,1972,Portland Trail Blazers,99,Cleveland Cavaliers,120,0,N
1971-11-07,1972,Baltimore Bullets,109,Houston Rockets,106,0,N
1971-11-07,1972,New York Knicks,96,Los Angeles Lakers,103,0,N
1971-11-07,1972,Golden State Warriors,109,Seattle SuperSonics,102,0,N
1971-11-08,1972,Cincinnati Royals,109,Boston Celtics,120,0,N
